Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Abbot, Louisa",,State,Superior Court Judge,Eastern Judicial Circuit: Abbot,2022,Non-Partisan,No,,,
"Abbott, Amy",Amy4Glynn,Glynn County,County Commissioner,2,2024,Republican,Yes,,,
"Abbott, Paul ",Paul Abbot for GA 131,State,State Representative,131,2024,Republican,Yes,10135.06,4981,
"Abbott, Paul",Abbott for GA 131,State,State Representative,131,2024,Republican,No,,,
"Abdur-Rahman, Khadijah ",,Fulton County,County Commissioner,6,2024,Other,No,,,
"Abraham, Shelly John",,State,State Representative,97,2024,Democrat,No,275,50,
"Abrams, Stacey ",Abrams for Governor,,Governor,,2022,Democrat,Yes,45230197.45,52449418.34,
"Absher, Jeremy",Absher for Ga,State,State Representative,22,2022,Republican,No,112396.7,32396.7,
"Acorn, Stephen",,State,State Representative,137,2024,Republican,Yes,,,
"Adams, Alicia Clark",AliciaAdamsforCobb,Cobb County,County Commissioner,2,2024,Republican,No,,,
"Adams, Cynthia Charlene","Citizens to Elect Judge Adams, Inc",State,Superior Court Judge,Douglas Judicial Circuit: Adams,2022,Non-Partisan,No,89588.75,57875.18,
"Adams, G.E. Bo",Bo Adams for Superior Court Judge,State,Superior Court Judge,Houston Judicial Circuit: Adams,2024,Non-Partisan,Yes,,,
"Adams, Gregory A.",Comm. To Re-elect Gregory A. Adams Judge,State,Superior Court Judge,Stone Mountain Judicial Circuit: Adams,2024,Non-Partisan,Yes,38840.24,27721.57,
"Adams, Jacqueline Lavere",Friends for Jacqueline Adams,DeKalb County,County Commissioner,7,2024,Democrat,No,,,
"Adams, Jacqueline Lavere",Friends for Jacqueline Adams,State,State Representative,86,2022,Democrat,No,20010,16210,
"Adams, Jonathan Lang",,State,District Attorney,Towaliga,2024,Republican,No,20041.02,,
"Adams, Kenneth",,Chatham County,County Commissioner,8,2024,Other,No,,,
"Adams, Kimberly M. Esmond",Committee to Elect Kimberly Esmond Adams,State,Superior Court Judge,Atlanta Judicial Circuit: Adams,2024,Non-Partisan,No,9112,5449.87,
"Adams, Lindsey",,Forsyth,Board of Education,5,2024,Other,No,,,
"Addison, Michael Russ",,Stephens County,County Commissioner,4,2022,Republican,No,,,
"Adesanya, Solomon ",Solomon for Georgia,State,State Representative,43,2024,Democrat,No,45472.01,23596.19,
"Adeyina, Olusegun ",Campaign to Elect Segun Adeyina,State,State Representative,110,2024,Democrat,Yes,87285.57,77353.01,
"Adkins, Tamela Lynn",,State,Superior Court Judge,Gwinnett Judicial Circuit: Adkins,2024,Non-Partisan,No,86850,41735.24,
"Adoma, Diane Daniels",Committee to Elect Diane Adoma,Stonecrest,Mayor,,2022,Non-Partisan,Yes,,,
"Agyapon, Adzua",,Atlanta Public Schools,Board of Education,3,2024,Other,No,,,
"Ahmad, Maryam",,DeKalb County,County Commissioner,6,2024,Other,No,,,
"Ahrenkiel, Winifred Byrne",,State,State Representative,52,2022,Republican,No,55099,52388.64,
"Akins, Marcus",,State,State Representative,91,2024,Democrat,Yes,,1586.27,
"Akins, Marcus",,State,State Senator,43,2022,Democrat,Yes,,,
"Alabi, Andrea Ladina",Committee to Elect Andrea Alabi Gwinnett DA,State,District Attorney,Gwinnett,2024,Democrat,Yes,169316.46,152985.89,
"Alayon, Pamela ",Friends of Pamela Alayon,State,State Representative,45,2022,Republican,Yes,4154.4,3604.4,
"Albers, John Edward",Albers for Senate,State,State Senator,56,2024,Republican,Yes,322494.35,103627.52,
"Alcarez, Mark",Committee to Elect Mark Alcarez,Douglas County,County Commissioner,4,2022,Republican,No,,,
"ALEXANDER, CHE' ",,Fulton County,Clerk of Superior Court,,2024,Democrat,Yes,,,
"Alexander, Kimberly ",Committee To Elect Kimberly Alexander,State,State Representative,66,2024,Democrat,Yes,43576.15,12105.24,
"Ali, Sadia Mahmood",Sadia for Georgia,State,State Senator,37,2024,Democrat,Yes,14731,2111.51,
"Allen, Chancey Raymond",Chancey Allen for Wilkinson County Sheriff 2024,Wilkinson County,Sheriff,,2024,Republican,Yes,,,
"Allen, Erick Eugene",Allen for Georgia,,Lieutenant Governor,,2022,Democrat,Yes,236572.18,236572.18,
"Allen, Glen T",,Lamar County,County Commissioner,3,2022,Republican,No,,,
"Allen, James , III",,Paulding County,County Commissioner,4,2024,Other,No,,,
"Allen, Julie ",Vote Julie Allen,State,State Representative,57,2024,Republican,Yes,7459.2,4829.2,
"Allen, Le'Tashe'",Committee To Elect Tashe' Allen,Clayton County,County Commissioner,3,2024,Democrat,Yes,,,
"Allen, Levon, Jr.",Committee to Elect Levon Allen Sheriff,Clayton County,Sheriff,,2024,Democrat,Yes,,,
"Allen, Sonya ",Sonya for D.A. LLC,State,District Attorney,Cobb,2024,Democrat,No,55731.15,35212.94,
"Ambler, Jennifer",,State,State Representative,100,2024,Democrat,No,1260,18.93,
"Amero, Brian Joseph",Committee to Re-elect Chief Judge Brian J. Amero,State,Superior Court Judge,Flint Judicial Circuit: Amero,2022,Non-Partisan,No,85633.47,81875.41,
"Amirizadeh, Marziyeh",Marzi For Georgia,State,State Representative,67,2022,Republican,Yes,31288.87,40666.36,
"Amore, Abiola Abosede",Douglas Democrats,State,State Representative,40,2024,Democrat,No,100,100,
"Amun, Akhenaten Hotep",Amun for a Better Henry,Henry County,County Commissioner,4,2022,Democrat,No,,,
"Anavitarte, Jason Raul",Committee to Elect Jason Anavitarte,State,State Senator,31,2024,Republican,Yes,434926.02,95305.11,
"Anderson, Alieka",Committee to Elect Dr. Alieka Anderson,Clayton County,County Commission Chair,,2024,Democrat,Yes,,,
"Anderson, Brian ",BrianAnderson4GA,State,State Representative,80,2024,Republican,Yes,4486.41,4102.46,
"Anderson, Calvin Louis, Jr.",Let's Help Ltd,State,State Representative,70,2022,Democrat,No,125,,
"Anderson, Emily ",,,Commissioner of Labor,,2022,Other,No,,,
"Anderson, Gayle W",,Early County,Clerk of Superior Court,,2024,Republican,No,,,
"Anderson, Kevin",,Henry County,County Commissioner,3,2022,Other,No,,,
"Anderson, Kimberly Kilpatrick","Georgians for Kimberly Anderson, Inc.",DeKalb County,State Court Judge,2,2022,Non-Partisan,No,,,
"Anderson, Lee Ivey",Committee to Elect Lee Anderson,State,State Senator,24,2024,Republican,Yes,76287.27,42764.04,
"Anderson, Lynn ",,Effingham,Board of Education,1,2022,Other,No,,,
"Anderson, Mecca",Friends of Mecca Anderson,DeKalb County,State Court Judge,3,2024,Non-Partisan,Yes,,,
"Anderson, Royal",Royal Anderson 4 Coroner,Columbus-Muscogee (Cons. Gov.),Coroner,,2024,Democrat,No,,,
"Anderson, Tonya P.",Committee to Elect Tonya Anderson,State,State Senator,43,2024,Democrat,No,71954.94,62615.57,
"Anderson, Victor Edward",,State,State Representative,10,2024,Republican,Yes,159786.16,68135.64,
"Anderson, Yul ",,Rockdale County,County Commissioner,1,2024,Other,No,,,
"Andrews, Eugene D",,Warren,Board of Education,3,2024,Other,No,,,
"Andrews, Herman ",Committee To Elect Drew Andrews,State,State Senator,34,2024,Democrat,Yes,5575,5569.36,
"Angel, Olivia DULA",Friends of Angel LLC,State,State Representative,39,2022,Republican,No,6945.7,6342.39,
"Angelo, Daniel N",,Macon-Bibb (Cons. Gov.),County Commissioner,8,2024,Other,No,,,
"Anglin, Carol",,Jackson,Board of Education,0,2022,Other,No,,,
"Anglyn, Derrell Winsor, III",Committee to Elect Dee Anglyn,Henry County,County Commissioner,3,2022,Republican,Yes,,,
"Anthony, Joshua ",Joshua Anthony for 153,State,State Representative,153,2024,Democrat,No,9218,8744.62,
"Anulewicz, Teri ",Teri for Georgia,State,State Representative,42,2024,Democrat,Yes,249353.65,131737.7,
"Ariemma, Johnny",,Dahlonega,City Councilperson,4,2024,Other,No,,,
"Arnette, Hannah Ellington",,Upson County,Chief Magistrate Judge,,2024,Non-Partisan,No,,,
"Arnt, Chris A.",,State,Superior Court Judge,Lookout Mountain Judicial Circuit: Van Pelt,2024,Non-Partisan,No,26430.63,17533.05,
"Arnt, Christopher Allen",,State,District Attorney,Lookout Mountain,2024,Unspecified,No,4153.28,2270,
"Aronhalt, Kevin Eugene",Kevin Aronhalt Committee For State Representative,State,State Representative,13,2024,Democrat,Yes,10045,5055.05,
"Arrington, James Ronald, Jr.",Committee To Elect Jim Arrington,LaGrange,Mayor,,2024,Non-Partisan,No,,,
"Arrington, Marvin S, Jr.",,Fulton County,County Commissioner,5,2022,Other,No,,,
Arrowood Thomas "Tripp" A. III,,Stephens,Board of Education,2,2022,Republican,No,,,
"Ashley, Karen Ashley",Friends of Karen Ashley,State,State Senator,35,2022,Democrat,No,1654.97,1654.97,
"Aten, Phinia",,Rockdale County,Magistrate Court Judge,,2024,Other,No,,,
"Au, Michelle ",Au for Georgia inc,State,State Representative,50,2022,Democrat,Yes,370879.43,354043.27,
"Auerbach, Jeffrey ",,State,State Representative,121,2022,Democrat,No,41148.63,34444.74,
"Austin, Boyd L., Jr.",Friends of Boyd Austin,State,State Senator,31,2022,Republican,No,21817.23,1765,
"Austin-Gatson, Patsy ",Committee to Elect Patsy,State,District Attorney,Gwinnett,2024,Democrat,Yes,189836.97,179151.8,
"Babbage, Lisa Noel",Babbage America,State,State Senator,5,2024,Republican,No,,,
"Bacon, Roger",,Irwinton,Mayor,,2022,Non-Partisan,No,,,
"Bagley, Jeffrey Scott",Committee to re-elect Jeff Bagley Superior Court Judge,State,Superior Court Judge,Bell-Forsyth Judicial Circuit: Bagley,2022,Non-Partisan,Yes,5679.44,3863.7,
"Bailey, Charles Curtis",Charles Bailey for Georgia INC,,Attorney General,,2022,Democrat,Yes,,29717.87,
"Bailey, Charles Curtis",Charlie For One Georgia,,Lieutenant Governor,,2022,Democrat,Yes,1616849.03,2117123.24,
"Bailey, Charles Edward",Committee to Keep Judge Bailey,DeKalb County,State Court Judge,at-Large,2024,Non-Partisan,No,,,
"Bailey, Gwendolyn",,Henry County,County Commissioner,4,2022,Other,No,,,
"Bailey, Jared",Committee to Re-Elect Jared Bailey,Athens-Clarke (Cons. Gov.),County Commissioner,5,2022,Non-Partisan,No,,,
"Bailey, John ",Committee to Elect John Bailey,State,State Representative,54,2022,Republican,Yes,49600,21665.61,
"Bailey, Lakiea J",,State,State Representative,26,2024,Democrat,No,,,
"Bailey, Ralph, Jr.","Ralph Bailey, Jr. - State Court Judge",Henry County,State Court Judge,at-Large,2024,Non-Partisan,No,,,
"Bailey, Van'Nessa A.D.",Committee to Elect Van'Nessa Bailey for Judge,Chatham County,Magistrate Court Judge,,2024,Non-Partisan,No,,,
"Baker, Jeremy Keith",Committee to Elect Jeremy Baker,State,Superior Court Judge,Southern Judicial Circuit: Cowart,2024,Non-Partisan,No,59077.6,19426.06,
Baker M. Anthony    "Tony",Committee to Elect Tony Baker,State,Superior Court Judge,Blue Ridge Judicial Circuit: Baker,2022,Non-Partisan,Yes,63797.51,3863.7,
"Baker, Michael ",,Gwinnett County,Sheriff,,2024,Republican,No,,,
"Baker, Nina Markette",Committee to Elect Markette Baker,State,Superior Court Judge,Coweta,2024,Unspecified,Yes,10753.8,4073.71,
"Baker, Patty A.",Committee to Elect Patty Baker,Cherokee County,Clerk of Superior Court,,2024,Republican,No,,,
"Baker, Raphael",Raphael Baker for Insurance Commissioner,,Commissioner of Insurance,,2022,Democrat,No,6480,3749.49,
"Baker, Sylvia Wayfer",,State,State Representative,64,2024,Democrat,No,,,
"Balkcom, Henry L.",Committee to Elect Henry Balkcom to Superior Court,State,Superior Court Judge,Pataula,2022,Unspecified,Yes,3863.7,3863.7,
"Ballar, Christopher Allen",Committee to Elect Chris Ballar for Probate Judge,Gwinnett County,Probate Court Judge,,2024,Non-Partisan,Yes,,,
"Ballard, Bethany Henderson",Bethany Ballard for State House,State,State Representative,147,2024,Republican,Yes,161420.96,94607.09,
